OBJECTID,Species,Status,PlantedDate,City,County,Longitude,Latitude
306995,retusus,Alive,1.42E+12,Atlanta,Fulton,-84.49176517,33.78439629
306996,buergerianum,Dead,1.17E+12,Atlanta,Fulton,-84.47880766,33.80995036
306997,tulipifera,Alive,1.26E+12,Atlanta,Fulton,-84.479693,33.749221
306998,xgrandiflora,Dead,1.11E+12,Atlanta,Fulton,-84.48588818,33.81117375
306999,rubrum,Alive,1.13E+12,Atlanta,Fulton,-84.49056574,33.73526133
307000,americana,Alive,1.13E+12,Atlanta,Fulton,-84.49218114,33.73483568
307001,rubrum,Alive,1.27E+12,Atlanta,Fulton,-84.488376,33.726446
307002,albidum,Dead,1.04E+12,Atlanta,Fulton,-84.48515323,33.81082222
307003,indicaxfauriei,Dead,1.43E+12,Atlanta,Fulton,-84.48620861,33.69912293
308176,sylvatica,Alive,1.46E+12,Marietta,Cobb,-84.557113,33.970116
308980,grandiflora,Alive,1.41E+12,EastPoint,Fulton,-84.45418915,33.67371581
308981,grandiflora,Alive,1.41E+12,EastPoint,Fulton,-84.45421668,33.67367896
